E2-T07 real-HTTP authorization matrix
http case=dispatch.admin.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.member.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.member.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:member"}
http case=follow.member.private status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"secret","writer":{"op":"e2-t07-operation-6","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"membership:member"}
http case=dispatch.member.private status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.member.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.member.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.member.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.member.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.member.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.outsider.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"count":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=follow.outsider.public status=200 body={"ok":true,"events":[{"payload":{"actor":"auth0|e2-t07-owner","repo":"forest","writer":{"op":"e2-t07-operation-5","seq":1,"sub":"auth0|e2-t07-owner","v":1}},"ts":10,"type":"repo.seeded"}],"after":1,"identityOffset":"0000000000000000_0000000000008483","basis":"public"}
http case=dispatch.outsider.public status=403 body={"error":{"code":"authz_refused","reason":"authz/write-grant-required","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.outsider.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.outsider.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.outsider.private status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.outsider.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=follow.outsider.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=dispatch.outsider.missing-repo status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
http case=read.outsider.missing-org status=404 body={"error":{"code":"authz_refused","reason":"authz/not-found","identityOffset":"0000000000000000_0000000000008483"}}
